Cost_ID,Fiscal_Year,Region_Code,Lenovo_Band,Local_Currency,Daily_Rate_Local,Exchange_Rate,Daily_Rate_USD
5045,FY26,PH,4,USD,90.0,1.0,90.0
5046,FY26,HK,4,HKD,1635.0,7.8344,208.69
5047,FY26,SG,4,SGD,265.0,1.2712,208.46
5048,FY26,GZ,5,CNY,1190.0,6.8157,174.6
5049,FY26,SZ,5,CNY,1274.0,6.8157,186.92
5050,FY26,MY,5,MYR,593.0,4.09,144.99
5051,FY26,PH,5,USD,117.0,1.0,117.0
5052,FY26,HK,5,HKD,1757.0,7.8344,224.27
5053,FY26,SG,5,SGD,285.0,1.2712,224.2
5054,FY26,GZ,6,CNY,1461.0,6.8157,214.36
5055,FY26,SZ,6,CNY,1753.0,6.8157,257.2
5056,FY26,MY,6,MYR,748.0,4.09,182.89
5057,FY26,PH,6,USD,146.0,1.0,146.0
5058,FY26,HK,6,HKD,2513.0,7.8344,320.76
5059,FY26,SG,6,SGD,407.0,1.2712,320.17
5060,FY26,GZ,7,CNY,1916.0,6.8157,281.12
5061,FY26,SZ,7,CNY,2145.0,6.8157,314.71
5062,FY26,MY,7,MYR,1032.0,4.09,252.32
5063,FY26,PH,7,USD,190.0,1.0,190.0
5064,FY26,HK,7,HKD,2972.0,7.8344,379.35
5065,FY26,SG,7,SGD,482.0,1.2712,379.17
5066,FY26,GZ,8,CNY,2596.0,6.8157,380.89
5067,FY26,SZ,8,CNY,2848.0,6.8157,417.86
5068,FY26,MY,8,MYR,1604.0,4.09,392.18
5069,FY26,PH,8,USD,314.0,1.0,314.0
5070,FY26,HK,8,HKD,4346.0,7.8344,554.73
5071,FY26,SG,8,SGD,705.0,1.2712,554.59
5072,FY27,GZ,3,CNY,738.15,6.8157,108.3
5073,FY27,SZ,3,CNY,738.15,6.8157,108.3
5074,FY27,MY,3,MYR,316.05,4.09,77.27
5075,FY27,PH,3,USD,72.45,1.0,72.45
5076,FY27,HK,3,HKD,1520.4,7.8344,194.07
5077,FY27,SG,3,SGD,246.75,1.2712,194.11
5078,FY27,GZ,4,CNY,992.25,6.8157,145.58
5079,FY27,SZ,4,CNY,1093.05,6.8157,160.37
5080,FY27,MY,4,MYR,581.7,4.09,142.22
5081,FY27,PH,4,USD,94.5,1.0,94.5
5082,FY27,HK,4,HKD,1716.75,7.8344,219.13
5083,FY27,SG,4,SGD,278.25,1.2712,218.89
5084,FY27,GZ,5,CNY,1249.5,6.8157,183.33
5085,FY27,SZ,5,CNY,1337.7,6.8157,196.27
5086,FY27,MY,5,MYR,622.65,4.09,152.24
5087,FY27,PH,5,USD,122.85,1.0,122.85
5088,FY27,HK,5,HKD,1844.85,7.8344,235.48
5089,FY27,SG,5,SGD,299.25,1.2712,235.41
5090,FY27,GZ,6,CNY,1534.05,6.8157,225.08
5091,FY27,SZ,6,CNY,1840.65,6.8157,270.06
5092,FY27,MY,6,MYR,785.4,4.09,192.03
5093,FY27,PH,6,USD,153.3,1.0,153.3
5094,FY27,HK,6,HKD,2638.65,7.8344,336.8
5095,FY27,SG,6,SGD,427.35,1.2712,336.18
5096,FY27,GZ,7,CNY,2011.8,6.8157,295.17
5097,FY27,SZ,7,CNY,2252.25,6.8157,330.45
5098,FY27,MY,7,MYR,1083.6,4.09,264.94
5099,FY27,PH,7,USD,199.5,1.0,199.5
5100,FY27,HK,7,HKD,3120.6,7.8344,398.32
5101,FY27,SG,7,SGD,506.1,1.2712,398.13
5102,FY27,GZ,8,CNY,2725.8,6.8157,399.93
5103,FY27,SZ,8,CNY,2990.4,6.8157,438.75
5104,FY27,MY,8,MYR,1684.2,4.09,411.78
5105,FY27,PH,8,USD,329.7,1.0,329.7
5106,FY27,HK,8,HKD,4563.3,7.8344,582.47
5107,FY27,SG,8,SGD,740.25,1.2712,582.32
